Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Automation Risk 2020 (%),Automation Risk 2021 (%),Automation Risk 2022 (%),Automation Risk 2023 (%),Automation Risk 2024 (%)
"Surveyor, building",Entertainment,Increasing,Low,71940.15,High School,7,3824,9373,78.19,99.7,India,43.14,85.59,99.51,97.04,94.55,99.19
"Geologist, wellsite",Healthcare,Increasing,High,105238.71,Master’s Degree,1,8485,6663,70.31,94.21,India,57.64,89.04,83.55,92.25,95.16,91.05
Water engineer,Education,Increasing,Moderate,47630.98,Bachelor’s Degree,0,9900,171,71.39,34.49,USA,60.53,32.65,32.76,35.64,33.23,36.02
"Lecturer, further education",IT,Decreasing,Moderate,93583.17,High School,15,3913,7743,7.59,24.33,Australia,29.4,16.13,22.72,18.86,19.8,22.61
Marketing executive,Finance,Decreasing,High,38594.94,Bachelor’s Degree,0,1761,7619,42.09,42.75,Canada,25,32.92,33.04,40.09,31.11,39.19
"Engineer, drilling",Education,Increasing,Moderate,52557.69,PhD,16,1679,8252,4.51,65.93,USA,52.97,58.76,64.42,56.82,66.84,67.71
Systems developer,Transportation,Decreasing,Moderate,107206.24,Master’s Degree,16,9943,1672,81.48,62.64,China,79.64,52.12,59.28,61.38,63.82,56.68
Research scientist (medical),Finance,Increasing,High,59538.52,Associate Degree,4,816,3051,56.2,19.31,USA,48.7,8.16,16.19,12.92,15.09,19.07
Advice worker,Transportation,Increasing,Low,96839.14,Bachelor’s Degree,17,5124,4907,1.64,58.49,Brazil,23.46,51.18,54.82,59.29,52.46,56.16
Administrator,Entertainment,Increasing,Moderate,30759.39,PhD,10,7918,1755,76.01,0.52,Canada,49.8,0,0,0,0.65,0
"Surveyor, planning and development",Healthcare,Decreasing,High,56069.93,Bachelor’s Degree,6,6350,7486,15.92,95.84,India,73.32,94.27,94.93,90.56,95.32,89.39
"Horticulturist, commercial",Finance,Increasing,High,83110.87,High School,14,101,3277,42.22,97.82,Australia,66.57,85.77,91.2,88.44,89.06,93.1
Sports coach,Healthcare,Decreasing,High,119111.83,PhD,15,5051,9808,0.16,11.77,Canada,47.51,9.99,11.54,9.37,11.29,9.95
Media planner,Education,Decreasing,Low,148727.02,Bachelor’s Degree,4,8330,1016,59.81,79.06,UK,35.55,69.31,74.2,76.82,78.91,78.32
"Runner, broadcasting/film/video",Manufacturing,Decreasing,Moderate,138069.17,Master’s Degree,5,6831,6566,88.08,37.04,Australia,56.35,32.3,32.34,35.54,31.88,38.33
Geophysical data processor,Education,Increasing,Low,57519.24,High School,19,5481,7311,37.84,53.3,UK,64.51,49.73,58.31,51.27,51.11,51.21
"Civil engineer, contracting",Education,Decreasing,Low,49674.1,Master’s Degree,18,4807,9123,52.97,23.4,Brazil,76.67,20.61,23.34,22.26,24.87,24.07
Management consultant,Manufacturing,Increasing,Low,86217.52,Bachelor’s Degree,7,404,9585,81.84,51.37,Germany,34.15,48.67,50.26,53.33,52.25,51.66
Comptroller,Manufacturing,Increasing,High,148359.04,High School,8,8414,468,4.63,93.21,China,22.58,89.83,84.1,100,93.4,94.87
"Surveyor, building control",Transportation,Decreasing,High,114499.29,Associate Degree,9,6003,491,32.17,11.89,USA,31.22,5.34,2.42,7.5,9.43,9.06
Midwife,Education,Increasing,Moderate,90659.07,Master’s Degree,5,7530,7075,12.82,1.01,UK,42.61,0,0,0.69,1.93,0.77
Conference centre manager,Transportation,Decreasing,Low,140665.22,Associate Degree,11,4434,9943,96.85,13.82,Germany,75.24,9.23,10.33,11.91,12.84,13.95
Haematologist,Entertainment,Increasing,Moderate,113442.32,Associate Degree,16,4830,3259,46.03,96.19,China,78.13,89.26,94.51,95.16,92.46,87.65
Immigration officer,Retail,Increasing,High,144717.88,PhD,17,5039,3766,65.97,79.26,Canada,26.84,69.98,80.66,69.18,82.03,71.39
Writer,Entertainment,Increasing,Moderate,140268.63,Bachelor’s Degree,9,7559,4588,65.81,40.23,USA,53.13,33.14,35.22,42.05,38.3,38.65
Advertising copywriter,IT,Decreasing,High,54891.19,Master’s Degree,17,7975,8754,50.94,65.36,Germany,42.15,52.37,59.37,57.74,60.67,62.17
Licensed conveyancer,Education,Increasing,Moderate,96095.53,PhD,9,963,1195,87.16,71.81,Canada,26.55,71.94,72.59,67.06,68.52,68.66
Electrical engineer,Education,Decreasing,Low,117206.54,Associate Degree,14,4611,6656,94.8,97.44,Canada,69.58,96.5,100,97.26,87.05,100
Television camera operator,Healthcare,Increasing,Moderate,126393.3,Associate Degree,3,8992,1466,47.63,87.33,UK,50.5,78.77,81.98,86.35,85.78,90.33
Microbiologist,Entertainment,Increasing,High,60770.34,Associate Degree,20,8457,7686,75.78,40.66,USA,38.57,32.5,32.83,35.91,40.72,41.07
Forest/woodland manager,Healthcare,Decreasing,Moderate,74944.3,Master’s Degree,10,6840,3884,38.88,12.8,UK,34.19,9.96,12.9,13.16,13.09,9.98
Retail merchandiser,Entertainment,Increasing,High,74387.21,Bachelor’s Degree,12,6569,6420,1.42,77.21,India,47.51,73.7,71.24,71.8,72.01,75.25
Market researcher,Education,Decreasing,High,34231.26,Master’s Degree,6,2874,5267,60.83,37,Australia,71.83,32.12,34.84,34.6,36.28,37.79
Biomedical engineer,Healthcare,Decreasing,High,129025.76,High School,19,395,5268,31.47,58.52,Canada,67.78,53.66,53,49.65,59.47,58
Chartered loss adjuster,Healthcare,Decreasing,Low,145599.37,Master’s Degree,4,8594,3769,89.62,9.84,Canada,23.16,7.42,10.26,6.27,9.1,7.69
Child psychotherapist,IT,Decreasing,Low,96586.85,Master’s Degree,0,1105,9413,3.58,69.3,India,21.32,66.4,57.13,69.03,69.93,64.95
Physiological scientist,IT,Decreasing,High,78561.07,Associate Degree,1,8828,4426,21.85,24.47,China,46.19,14.87,14.66,19.58,22.4,20.27
Data processing manager,Manufacturing,Decreasing,Moderate,47180.27,Associate Degree,2,4646,7049,74.21,28.22,Brazil,67.15,21.18,27.59,30.38,27.78,28.75
"Nurse, children's",Manufacturing,Decreasing,Low,43274.74,Master’s Degree,3,407,9489,40.83,27.25,Australia,75.4,23.68,25.43,26.38,25.71,29.82
Food technologist,Healthcare,Increasing,Low,44443.32,Master’s Degree,19,5215,672,9.24,90.72,USA,65.01,89.37,90.33,88.78,89.63,95.44
Warehouse manager,Finance,Increasing,High,111940.09,High School,19,8299,9462,10.28,50.64,USA,52.69,43.28,44.91,46.51,46.42,44.83
Adult nurse,Finance,Decreasing,Low,140028.74,High School,8,2259,3396,72.35,92.39,India,27.38,94.91,93.59,95.21,86.13,97.72
Fish farm manager,Healthcare,Increasing,High,95086.7,Bachelor’s Degree,19,1033,6461,42.87,28.84,USA,59.51,29.59,28.19,30.4,29.17,26.06
"Buyer, retail",Finance,Decreasing,High,115958.96,Associate Degree,19,9292,1388,25.89,37.03,UK,30.39,30.56,28.13,30.79,34.74,35.95
"Civil engineer, contracting",Finance,Decreasing,Moderate,42059.52,Master’s Degree,10,3961,3663,0.98,38.95,India,32.62,34.19,29.37,34.94,38.02,39.75
Research scientist (physical sciences),Finance,Increasing,Low,117424.68,Master’s Degree,11,422,9789,39.47,98.5,China,75.57,97.93,96.26,94.29,99.05,96.32
Statistician,Finance,Decreasing,High,59790.09,Bachelor’s Degree,4,7316,567,99.18,58.35,Brazil,43.14,53.48,53.5,53.47,52.73,60.43
Insurance underwriter,Finance,Decreasing,High,30100.66,Associate Degree,11,4063,469,55.77,53.29,UK,74.57,47.22,53.57,50.24,52.06,47.19
"Sales professional, IT",Entertainment,Increasing,High,67917.76,Master’s Degree,13,9812,4471,95.93,31.01,Brazil,31.48,25.26,25.04,29.12,29.22,32.1
Water quality scientist,Manufacturing,Increasing,Low,88656.54,PhD,2,2621,2139,15.57,59.21,China,58.87,63.4,54.35,60.63,60.33,65.13
Professor Emeritus,Manufacturing,Decreasing,Low,145687.74,Master’s Degree,5,3801,7892,11.8,52.48,USA,59.03,51.85,52.09,53.42,54.19,56.39
Computer games developer,IT,Increasing,Moderate,98757.42,PhD,13,2595,4885,19.09,6.56,Germany,36.47,0,0,5,0.24,4.92
Food technologist,Healthcare,Increasing,High,82169.53,High School,11,2844,8841,57.9,75.26,USA,54.06,71.92,71.48,78.86,75.49,73.02
"Physicist, medical",Education,Increasing,Low,136287.58,Bachelor’s Degree,20,4747,4093,19.55,20.75,USA,73.98,17.65,19.95,22.17,20.34,20.11
Air traffic controller,IT,Increasing,Moderate,65501.11,PhD,13,2285,9639,22.5,51.97,Australia,28.62,42.34,47.11,48.44,46.75,53.61
Chief Strategy Officer,Healthcare,Decreasing,Low,143295.15,Bachelor’s Degree,9,8936,1336,48.53,63.66,USA,31.49,67.38,62.15,63.43,59.05,65.75
Agricultural consultant,Manufacturing,Increasing,Low,85706.89,Master’s Degree,18,4920,8469,81.35,34.84,India,20.41,33.22,31.77,31.27,38.42,35.25
Conference centre manager,Manufacturing,Decreasing,Moderate,55125.28,Associate Degree,19,8393,6820,69.57,49.93,USA,41.6,43.18,49.29,48.22,48.51,52.06
Sports administrator,Transportation,Increasing,High,65203.63,Bachelor’s Degree,16,5800,1483,92.87,1.34,UK,40.75,0,0,0,0,0
"Lecturer, higher education",Manufacturing,Decreasing,High,39764.55,High School,6,9427,8689,12.52,20.95,Australia,40.01,12.9,17.2,18.51,21.94,20.7
Editorial assistant,IT,Decreasing,Moderate,105671.44,Master’s Degree,0,2827,8131,40.28,9.98,USA,70.72,1.94,4.71,7.48,8.58,9.6
Microbiologist,Entertainment,Decreasing,High,125923.66,Associate Degree,10,7755,2761,93.08,0.5,Australia,35.42,0,0,0,0,0
Event organiser,Education,Increasing,Low,134497.65,Associate Degree,20,1028,5473,49.23,52.28,Australia,52.28,52.06,54.24,52.95,54.8,51.53
Event organiser,Entertainment,Increasing,Moderate,143994.75,PhD,16,9995,4533,22.16,51.66,India,51.71,49.01,44.61,48.48,44.07,50.76
General practice doctor,Transportation,Decreasing,High,91727.52,Bachelor’s Degree,11,4402,6690,88.24,74.47,India,60.99,72.54,69.53,73.27,72.89,71.04
Structural engineer,Healthcare,Increasing,Moderate,83064.14,Master’s Degree,17,6842,5823,97.78,29.06,USA,34.47,25.62,29.46,28.96,26.4,25.17
"Designer, jewellery",IT,Increasing,Moderate,31288.96,PhD,13,5561,9564,78.23,73.13,Germany,76.47,66.39,64.98,67.97,64.76,75.47
"Designer, exhibition/display",Transportation,Decreasing,Moderate,100219.25,Associate Degree,15,2796,1205,78.22,4.7,China,68.79,0,0.79,0.33,2.24,3.9
English as a second language teacher,Healthcare,Increasing,High,92676.1,Master’s Degree,15,2960,9799,31.12,69.12,Australia,48.78,63.03,65.23,71.73,61.31,69
Economist,Manufacturing,Decreasing,High,122889.47,High School,5,4333,6374,73.76,90.55,Germany,46.93,82.04,92.03,86.67,84.05,88.6
"Teacher, English as a foreign language",Education,Decreasing,Low,132863.78,Associate Degree,8,5010,774,27.06,93.42,USA,30.75,93.17,100,83.29,87.56,98.69
"Accountant, chartered certified",Retail,Increasing,Low,84676.97,Master’s Degree,13,912,272,35.59,19.97,China,63.54,13.65,17.47,17.07,17.37,18.98
Drilling engineer,Entertainment,Increasing,High,137985.42,Bachelor’s Degree,12,3195,251,17.59,48.63,Australia,47.88,41.15,46.56,48.66,47.29,46.63
Police officer,Entertainment,Decreasing,Moderate,72454.55,Master’s Degree,9,5006,1242,88.59,12.23,India,47.28,7.71,9.73,11.1,10.92,14.08
Fine artist,IT,Decreasing,Moderate,63409.95,Associate Degree,11,2339,5663,93.95,61.3,Brazil,46.07,51.74,59.11,59.15,56.26,60.58
"Scientist, forensic",Manufacturing,Decreasing,High,102672.82,PhD,10,4319,1694,87.2,55.59,Germany,51.79,51.34,50.98,51.99,48.68,52.37
Advertising art director,Finance,Increasing,High,143838.31,Master’s Degree,16,2506,2387,4.59,73.83,Canada,53.32,65.14,65.46,65.97,74.65,71.88
Soil scientist,Retail,Decreasing,Moderate,59031.77,PhD,0,6820,9496,28.34,45.34,Germany,37.76,47.04,42.38,45.62,42.94,42.55
"Programmer, systems",Retail,Increasing,Moderate,98564.68,High School,10,9805,4341,39.1,82.68,USA,35.88,79.23,84.24,79.63,82.66,82.81
Advice worker,Entertainment,Decreasing,Moderate,41262.52,Associate Degree,4,9954,7576,14.18,15.43,UK,26.77,10.24,11.34,10.47,13.41,15.71
Sports administrator,Healthcare,Decreasing,Moderate,132146.15,Bachelor’s Degree,20,4801,4377,29.24,68.15,UK,25.47,66.2,66.4,68.92,67.64,67.6
Structural engineer,Finance,Increasing,Low,133020.26,Bachelor’s Degree,20,9606,4824,42.26,19.32,India,31.31,16.65,16.24,16.31,18.61,18.41
Horticultural therapist,Manufacturing,Decreasing,Low,64514.13,Associate Degree,12,5728,2505,99.43,2.19,UK,59.91,0,0.19,0.77,0,2.15
Dance movement psychotherapist,Education,Decreasing,Low,121170.88,Associate Degree,4,2181,2430,70.96,5.2,Canada,30.78,6.51,2.18,3.32,9.1,3.49
Firefighter,Manufacturing,Increasing,Moderate,145041.82,Bachelor’s Degree,15,1214,9539,56.12,87.57,India,36.18,88.88,83.43,85.42,85.43,88.53
Community arts worker,Entertainment,Decreasing,Low,110459.4,PhD,11,1295,8720,8.42,1.64,Brazil,45.55,0,0,0,0,2.68
Theatre stage manager,Finance,Decreasing,High,35496.94,Bachelor’s Degree,19,3880,1453,67.86,74.72,China,77.45,59.03,76.52,72.35,66.51,78.17
Leisure centre manager,Entertainment,Decreasing,Moderate,127333.64,Master’s Degree,20,1872,4369,61.32,67.73,Australia,41.79,60.08,61.24,58.37,62.68,64.09
"Designer, textile",Finance,Increasing,Low,108144.28,Master’s Degree,5,9801,1064,90.17,80.36,Brazil,38.86,79.36,81.56,72.99,79.74,72.32
Information systems manager,Entertainment,Decreasing,Low,144624.15,Master’s Degree,6,8695,4627,65.09,6.01,India,51.05,2.97,6.84,0.92,2.91,6.53
"Investment banker, operational",Retail,Decreasing,High,139039.61,PhD,11,3035,376,25.13,58.26,USA,60.31,55.16,50.52,59.54,53.27,62.53
Art therapist,Retail,Decreasing,Moderate,102682.82,High School,2,9557,6084,99.56,26.78,Germany,62.18,23.36,26.11,24.93,26.49,27.52
"Conservator, museum/gallery",Education,Decreasing,High,56393.02,PhD,4,2337,9250,7.27,77.04,Brazil,65.82,78.15,74.31,71.66,75.44,73.85
Oceanographer,IT,Increasing,High,93517.74,PhD,12,519,8931,94.23,20.02,Canada,33.35,9.01,15.7,15.48,17.33,20.32
Textile designer,Retail,Decreasing,Low,113183.5,Associate Degree,2,2271,963,30.84,36.11,UK,37.27,34.56,38.41,28.81,32.27,33.67
"Therapist, music",Entertainment,Increasing,High,124132.05,Bachelor’s Degree,1,1800,578,74.31,32.91,Canada,68.05,22.99,27.99,29.41,35.22,33.86
Training and development officer,Manufacturing,Increasing,Moderate,107268.74,Associate Degree,13,2186,9044,45.6,55.5,Brazil,75.8,49.89,53.86,47.32,54.35,54.98
Set designer,Healthcare,Decreasing,Moderate,140755.73,Master’s Degree,6,6883,6976,75.33,62.66,Canada,76.04,56.61,59.58,58.52,58.31,64.34
"Teacher, primary school",Manufacturing,Increasing,Moderate,52776.07,Associate Degree,16,2297,6548,66.77,15.82,India,76.85,13.86,13.63,12.55,12.91,14.22
"Administrator, arts",Retail,Increasing,High,82459.22,Bachelor’s Degree,17,3828,7920,9.17,51.18,Canada,64.68,44.66,43.85,50.87,48.23,52.33
Hydrogeologist,Retail,Decreasing,Low,72608.73,Bachelor’s Degree,2,8527,163,69.04,20.81,USA,53.5,14.69,16.83,20.75,21.41,17.63
"Designer, textile",Manufacturing,Decreasing,High,77976.95,Master’s Degree,11,6291,8482,3.99,94.67,UK,69.17,90.79,91.94,88.48,94.14,86.77
Market researcher,Education,Increasing,Moderate,92482.86,Bachelor’s Degree,10,7789,4739,24.42,95,Australia,78.77,88.47,95.61,93.63,94.35,93.74
"Sound technician, broadcasting/film/video",Transportation,Increasing,Moderate,95361.27,Associate Degree,7,4154,5444,77.68,18.41,USA,76.27,14.51,15.61,17.03,16.67,16.61
Radio broadcast assistant,Education,Decreasing,Low,97235.64,PhD,1,9407,3453,14.88,60.6,Brazil,58.75,57,55.69,58.21,57.89,65.56
"Optician, dispensing",Entertainment,Increasing,High,52268.65,Master’s Degree,18,1654,1254,98.01,26.6,Canada,51.67,17.69,23.78,22.08,23.53,26.22
Armed forces training and education officer,Healthcare,Decreasing,High,75523.98,Bachelor’s Degree,6,9023,8489,43.9,71.74,Australia,64.61,62.66,65.7,64.87,68.79,67.64
Radio producer,Education,Decreasing,High,111716.18,High School,12,5898,2334,99.74,48.97,Canada,66.26,49.63,44.64,39.96,46.68,50.72
"Designer, blown glass/stained glass",Finance,Increasing,Low,52065.79,Associate Degree,5,4145,825,43.39,29.32,Brazil,49.15,29,25.41,25.57,27.61,29.47
Hydrologist,Retail,Increasing,Low,128982.09,PhD,17,5724,591,86.43,37.26,Brazil,56,31.15,34.1,35.24,36.12,36.25
"Radiographer, therapeutic",Healthcare,Decreasing,Moderate,94388.32,Bachelor’s Degree,2,2409,3615,67.97,35.48,Canada,23.1,30.08,33.95,33.57,34.16,32.1
Psychiatrist,Retail,Decreasing,Low,57436.81,Bachelor’s Degree,6,5549,6757,31.46,53.66,China,33.92,52.5,48.19,56.8,48.73,55.4
Health service manager,IT,Decreasing,High,82649.24,PhD,7,3917,3790,28.78,87.66,Canada,71.13,70.03,70.53,79.52,74.43,88.72
Rural practice surveyor,Education,Decreasing,Moderate,47461.74,PhD,7,9100,6722,5.12,59.2,Australia,73.13,56.63,61.79,57.15,59,57.82
Public relations account executive,Healthcare,Increasing,High,133678.46,PhD,20,7812,9665,53.11,38.74,Australia,31.98,32.51,34.54,33.19,38.21,37.14
Regulatory affairs officer,IT,Decreasing,High,56975.65,Associate Degree,17,9821,8034,38.52,14.75,India,78.34,4.81,12.44,8.12,11.46,12.69
Analytical chemist,Retail,Increasing,Low,32634.06,Associate Degree,20,909,6684,96.79,87.67,China,47.7,89.3,86.13,84.66,95.88,83.49
"Programme researcher, broadcasting/film/video",Manufacturing,Decreasing,High,41759.48,Associate Degree,1,6835,5189,8.91,62.68,India,66.82,56.82,61.62,56.79,63.19,60.02
"Runner, broadcasting/film/video",IT,Increasing,Low,41131.44,Bachelor’s Degree,13,4064,3556,83.36,55.54,Canada,55.51,53.47,54.43,52.1,50.27,53.25
Neurosurgeon,IT,Increasing,Low,36482.13,Master’s Degree,17,4729,831,35.14,84.55,UK,36.86,79.24,83.94,82.69,84.62,84.91
"Civil engineer, consulting",Retail,Decreasing,Moderate,86944.24,Associate Degree,11,7386,2573,91.42,59.39,China,42.37,57.67,55.13,57.23,57.68,57.05
Facilities manager,Retail,Increasing,Moderate,137845.91,Bachelor’s Degree,7,5456,1917,87.6,86.68,Canada,34.69,86.33,87.14,88.92,81.75,87.22
"Engineer, petroleum",Retail,Decreasing,Moderate,110001.45,High School,12,9882,2849,47.21,43.9,Germany,78.77,42.48,44.53,36.95,42.09,42.47
"Sound technician, broadcasting/film/video",Finance,Increasing,High,73923.12,High School,15,7443,4141,96,63.05,Australia,57.85,60.65,49.32,54.82,64.79,59.9
Psychotherapist,Entertainment,Increasing,High,121338.27,Bachelor’s Degree,1,2608,5699,23.5,68.86,Canada,39.05,57.72,69.05,59.85,69.9,62
Commissioning editor,Education,Increasing,High,149813.23,Master’s Degree,3,2728,6503,13.06,59.86,USA,61.42,51.86,57.92,55.11,59.46,65.15
Fast food restaurant manager,Retail,Decreasing,High,40267.28,PhD,16,1194,7934,4.62,93.42,Canada,41.84,86.9,95.74,91.31,95.19,82.12
Marine scientist,IT,Decreasing,High,146554.81,High School,7,8687,1232,86.88,88.87,Brazil,30.21,81.77,83.08,81.52,92.87,84.87
"Psychologist, prison and probation services",Transportation,Increasing,Low,52270.01,PhD,7,4678,1239,88.67,39.59,Brazil,46.45,31.77,38.89,33.66,38.4,42.49
Paramedic,Entertainment,Increasing,Moderate,66855.94,PhD,3,8827,9221,95.47,54.73,Canada,35.83,51.3,49.95,50.63,56.71,49.9
Advice worker,Retail,Decreasing,Moderate,123418.94,Associate Degree,4,2568,3885,10.03,15.59,USA,30.92,12.62,16.31,13.96,13.32,14.38
Chartered legal executive (England and Wales),Healthcare,Increasing,High,73186.65,Master’s Degree,0,7175,8419,72.29,65.51,USA,73.48,59.95,60.13,63.58,66.3,70.31
Astronomer,Education,Decreasing,Moderate,84019.71,PhD,1,4672,9299,55.78,48.92,USA,75.54,40.61,39.68,52.26,48.09,48.74
"Horticulturist, amenity",Finance,Increasing,Moderate,128038.55,Master’s Degree,4,630,5238,84.51,36.35,India,47.4,31.65,31.07,37.87,35.22,33.99
Personal assistant,Entertainment,Increasing,Moderate,116947.35,Master’s Degree,19,7371,6906,60.4,11.62,China,23.96,5.96,7.35,7.18,12.74,10.85
"Nurse, mental health",Transportation,Decreasing,Moderate,76663.22,PhD,6,7398,4509,86.63,57.18,Australia,49.21,48.42,54.48,58.81,58.59,53.74
Audiological scientist,Finance,Increasing,High,61286.37,High School,17,4871,2815,27.1,85.43,Brazil,23.48,73.12,84.99,74.15,83.82,81.56
Acupuncturist,Manufacturing,Decreasing,Low,126847.91,Master’s Degree,6,7431,8068,98.21,26.53,China,67.34,26.75,21.87,23.02,26.83,27.8
"Runner, broadcasting/film/video",Entertainment,Decreasing,High,62024.46,Bachelor’s Degree,11,6842,7343,36.35,57.51,Canada,67.28,55.4,53.84,54.74,58.29,51.79
"Engineer, broadcasting (operations)",Transportation,Decreasing,High,148959,High School,15,5376,6693,79.32,54.29,India,32.71,45.04,45.06,41.99,54.32,57.46
Adult nurse,Finance,Increasing,High,57878.47,Master’s Degree,0,5164,3958,74.49,28.96,China,72.96,22.48,23.62,24.48,25.97,31.42
Chartered public finance accountant,Manufacturing,Increasing,Low,125431.81,Bachelor’s Degree,4,3307,5155,88,90.63,Brazil,59.7,94.37,85.92,93.63,94.7,92.81
Broadcast engineer,Manufacturing,Decreasing,High,68534.31,Associate Degree,14,2116,3605,19.19,71.98,UK,67.81,68.2,69.11,63.44,64.15,73.81
Forensic scientist,Finance,Increasing,Low,50511.66,Associate Degree,6,5949,2640,4.48,97.11,USA,70.66,88.05,87.62,85.43,93.33,97.92
Osteopath,Entertainment,Increasing,High,73228.67,Associate Degree,13,5083,2643,52.73,93.14,Germany,54.81,88.59,91.59,87.56,91,95.47
"Therapist, drama",Education,Increasing,Moderate,123569.08,PhD,9,267,1266,59.58,3.94,Germany,75.25,2.19,0.99,2.92,0,3.44
